Host Countries,Host Cities,Olympic,Year,Count,Broadcast_Revenue,Sum_Revenue,Revenue to OCOGs (in USD millions),Ticket Sold (millions)
Japan,Tokyo,Summer,2020,4,3170,3694.1,52,0
South Korea,PyeongChang,Winter,2018,2,1436,1839,79,1.1
Brazil,Rio,Summer,2016,1,2868,2868,31,6.2
Russia,Sochi,Winter,2014,2,1289,1377,35,1
United Kingdom,London,Summer,2012,1,2569,2569,119,8.2
Canada,Vancouver,Winter,2010,3,1280,1640,51,1.5
China,Beijing,Summer,2008,1,1739,1739,163,6.5
Italy,Torino,Winter,2006,2,831,832.2,22,0.9
Greece,Athens,Summer,2004,1,1494,1494,62,3.8
United States of America,Salt Lake City,Winter,2002,5,738,1944.05,25,1.5
Australia,Sydney,Summer,2000,1,1332,1332,52,6.7
Japan,Nagano,Winter,1998,4,514,3694.1,14,1.3
United States of America,Atlanta ,Summer,1996,5,898,1944.05,91,8.3
Norway,Lillehammer,Winter,1994,1,353,353,24,1.2
Spain,Barcelona,Summer,1992,1,636,636,17,3
France,Albertville,Winter,1992,2,292,294.6,,
South Korea,Seoul,Summer,1988,2,403,1839,19,3.3
Canada,Calgary,Winter,1988,3,325,1640,,
United States of America,Los Angeles,Summer,1984,5,287,1944.05,,
Bosnia and Herzegovina,Sarajevo,Winter,1984,1,103,103,,
Russia,Moscow,Summer,1980,2,88,1377,,
United States of America,Lake Placid,Winter,1980,5,21,1944.05,,
Canada,Montreal,Summer,1976,3,35,1640,,
Austra,Innsbruck,Winter,1976,2,12,12.9,,
Germany,Munich,Summer,1972,1,18,18,,
Japan,Sapporo,Winter,1972,4,8.5,3694.1,,
Mexico,Mexico City,Summer,1968,1,9.8,9.8,,
France,Grenoble,Winter,1968,2,2.6,294.6,,
Japan,Tokyo,Summer,1964,4,1.6,3694.1,,
Austra,Innsbruck,Winter,1964,2,0.9,12.9,,
Italy,Rome,Summer,1960,2,1.2,832.2,,
United States of America,Squaw Valley,Winter,1960,5,0.05,1944.05,,